																																																					
	April 2021			May 2021			June 2021			July 2021			August 2021			September 2021			October 2021			November 2021			December 2021			January 2022			February 2022			March 2022			April 2022			May 2022			June 2022			July 2022			August 2022			September 2022	
	preacher curl	10x30 x5		lateral raise	10x7 x5		rope push down	12x25 + 6x32.5 x4		low row	12x85 x4								bench press	5x60 + 5x62.5 + 5x65 x2 + 2x70		rope push down	12x25 x4		09/12/2021	pull		09/01/2022	push		09/02/2022	shoulder push		09/03/2022	leg		09/04/2022	barbell pull		09/05/2022	core + forearm		09/06/2022	cardio		09/07/2022	holiday push		09/08/2022	cardio		09/09/2022	arm push
				shrug	50x10 + 20x22 x3		chest press	6x75 x4		close grip pull down	12x60 x4								chest press	12x60 x4		leg press	12x160 x3		low row	12x100 x4		skull crusher	20x20 x4		shoulder press	20x60 + 14x80 + 10x80 x2		squat	6x70 + 6x75 + 6x70		barbell row	12x60 + 8x70 x2		sit up	20x28 x3											close grip bench press	
	30/04/2021	mix		leg extension	10x90 + 10x110 + 10x120 x3		skull crusher	6x30 x3		russian twist	45x12								skull crusher	12x30 x4					preacher curl	12x30 x4		bench press	10x70 + 7x70 x2 + 5x70		lateral raise	25x9 + 20x10 + 12x12 x2		leg press	16x220 + 10x260 x2 12x220		preacher curl	12x40 x3		russian twist	20x10												
	bench press	10x40 + 8x50 + 1x60								sit up	35x12								creatine			12/11/2021	pull		chin up	12 x4		pectoral	20x10 + 16x15 x3		pectoral	25x15 + 12x25 + 10x25 + 8x25		leg curl	16x45 + 12x50 x2		low row	20x80 + 14x90 x2		forearm	20x14 x3												
	chest press	10x35 x5		09/05/2021	pull		11/06/2021	ab											13/10/2021	leg		low row	12x92.5 x4		bicep curl	8x14 + 12x10 x3		cable push down	12x25 + 12x30 x3		shrug	20x24 + 16x28 x2		calf raise	20x140		chin up	12x10 + 10x10 + 9x10		hanging leg raise	20 x3												
	shoulder press	10x35 x2		low row	10x60 x5		low row	12x82.5 x4		13/07/2021	push								leg press	12x140 x4		preacher curl	12x30 x4														lateral pull down	7x60		abdominal crunch	16x40 x3												
	cable push down	10x17.5 x2 + 10x20 x2		close grip pull down	10x55 + 10x60 + 10x55		russian twist	25x8		chest press	12x75 x2								calf raise	12x120 + 12x140 x3		cable curl	12x25 x4																														
	shrug	16x24 x4		preacher curl	10x20 x3		sit up	25x8		rope push down	12x27.5 x4								abductor	16x60 x4		chin up	12 x4																														
	abdominal crunch	10x35 x2		shrug	12x24 + 20x24 x2 + 12x24					russian twist	45x12								adductor	16x60 x4																																	
	bench press	10x20 + 8x40 + 1x60		leg extension	10x50 x4		12/06/2021	push		sit up	25x12								leg extension	12x80 x2		13/11/2021	mix		10/12/2021	push		10/01/2022	pull		10/02/2022	barbell pull		10/03/2022	arm push		10/04/2022	cardio		10/05/2022	leg		10/06/2022	cardio		10/07/2022	holiday push		10/08/2022	arm push		10/09/2022	core + forearm
	cable push down	10x25 + 10x17.5 x6					bench press	5x60 x4		bench press	5x62.5 x3 + 3x62.5											rope push down	12x25 x4		bench press	10x70 + 7x70 x2 + 5x70		low row	20x70 x2 + 16x70 x2		barbell row	10x60 x5		bench press	5x70 x3 + 9x60					leg press	12x260 + 12x300 + 10x300								close grip bench press	6x70 + 4x70 + 10x50			
	shoulder press	10x40 + 10x30 x2		10/05/2021	push		shoulder press	12x45 x4											14/10/2021	pull		bench press	5x60 + 5x65 x3		pectoral	20x10 x4		bicep curl	16x10 + 12x10 x3		low row	16x70 + 12x70 x3		dip	12x10 x2 + 10x10 x2					leg curl	12x60 x4								chest fly	16x10 + 14x12 x3			
	lateral raise	10x6 x4		cable push down	10x15 x3		rope push down	12x25 x4		14/07/2021	mix								low row	12x80 x4		adductor	16x60 x4		skull crusher	20x25 x3		reverse fly	20x10 + 16x10 x3		reverse fly	10x15 + 8x15 x2 + 6x15		skull crusher	12x30 x2 + 8x30					calf raise	20x180 + 16x200 + 14x200 x2								skull crusher	12x30 + 10x30 + 8x30			
